customer_id,car_make,car_model,lease_start_date,lease_end_date,monthly_payment,insurance_provider,driver_license_number
1,Mercedes-Benz,E-Class,3/9/2023,4/10/2025,690.69,State Farm,555555555
2,Chevrolet,Suburban 1500,5/18/2023,2/22/2025,851.28,Geico,987654321
3,Infiniti,QX,8/6/2023,2/27/2025,906.24,Progressive,123456789
4,Pontiac,Solstice,9/12/2023,6/30/2025,756.3,Geico,123456789
5,Land Rover,Range Rover,8/1/2023,1/10/2025,715.06,Progressive,555555555
6,Cadillac,DeVille,8/31/2023,1/4/2025,970.45,Geico,987654321
7,Honda,S2000,9/8/2023,12/6/2025,151.82,Geico,123456789
8,Toyota,Yaris,10/6/2023,6/28/2025,607.86,Progressive,555555555
9,Buick,Skylark,7/24/2023,2/2/2025,342.93,Geico,555555555
10,Buick,LeSabre,5/18/2023,8/25/2025,128.42,Geico,555555555
11,Pontiac,Firebird,8/9/2023,3/18/2025,783.84,Geico,555555555
12,Kia,Sorento,9/6/2023,1/15/2025,962.87,Progressive,987654321
13,Land Rover,Discovery Series II,4/19/2023,1/19/2025,961.68,State Farm,555555555
14,Oldsmobile,Achieva,7/25/2023,1/23/2025,951.68,State Farm,555555555
15,Mitsubishi,Mirage,5/11/2023,10/18/2025,729.29,Geico,555555555
16,Volkswagen,Jetta,1/30/2023,3/4/2025,429.88,Progressive,987654321
17,Volkswagen,GTI,1/5/2023,6/2/2025,506.68,Geico,123456789
18,Pontiac,Bonneville,11/26/2023,4/6/2025,430.49,State Farm,123456789
19,Mercedes-Benz,C-Class,12/28/2023,9/18/2025,106.21,Geico,555555555
20,Dodge,Ram Van 1500,12/27/2023,9/7/2025,508.25,Progressive,987654321
21,Saab,9000,9/29/2023,9/17/2025,762.46,State Farm,987654321
22,Suzuki,X-90,1/21/2023,4/4/2025,922.57,Geico,123456789
23,GMC,Savana 3500,8/17/2023,6/28/2025,860.66,State Farm,555555555
24,Acura,TL,4/27/2023,1/29/2025,897.07,Progressive,555555555
25,BMW,6 Series,10/21/2023,6/7/2025,437.11,Geico,123456789
26,Buick,LeSabre,12/14/2023,3/23/2025,398.15,State Farm,555555555
27,Jaguar,XF,12/28/2023,11/17/2025,335.58,State Farm,123456789
28,Dodge,Stratus,1/21/2023,8/12/2025,568.92,Geico,123456789
29,Chevrolet,G-Series 2500,6/29/2023,4/23/2025,594.32,Geico,987654321
30,Nissan,300ZX,3/22/2023,7/17/2025,654.81,Geico,555555555
31,Mercedes-Benz,E-Class,7/27/2023,5/9/2025,638.84,Progressive,123456789
32,Lincoln,MKZ,8/11/2023,5/4/2025,399.91,State Farm,555555555
33,Ford,F150,1/14/2023,7/1/2025,395.35,Geico,555555555
34,Jeep,Grand Cherokee,4/10/2023,3/27/2025,322.94,Geico,987654321
35,Porsche,Panamera,5/3/2023,3/6/2025,483.26,Geico,123456789
36,Dodge,Ram Van 3500,4/15/2023,3/15/2025,574.32,Progressive,123456789
37,Mercury,Grand Marquis,11/19/2023,3/17/2025,509.85,Geico,123456789
38,Pontiac,Grand Prix,1/7/2023,10/29/2025,538.85,Progressive,555555555
39,Hyundai,Elantra,12/23/2023,8/10/2025,844.39,State Farm,123456789
40,Ford,Escort,8/19/2023,2/19/2025,933.72,Geico,555555555
41,Toyota,T100 Xtra,4/24/2023,3/17/2025,640.79,Geico,555555555
42,Dodge,Dakota,7/24/2023,7/15/2025,108.3,State Farm,987654321
43,Ford,F350,4/7/2023,11/9/2025,867.77,Geico,123456789
44,Chevrolet,Impala,3/20/2023,4/16/2025,653.4,Progressive,123456789
45,Mercedes-Benz,W201,5/2/2023,5/18/2025,406.82,Geico,123456789
46,Chevrolet,TrailBlazer,2/14/2023,9/5/2025,837.46,Progressive,123456789
47,Mitsubishi,Lancer Evolution,9/4/2023,2/2/2025,943.1,State Farm,123456789
48,Lincoln,Continental,10/21/2023,1/25/2025,313.51,Geico,555555555
49,BMW,Z4,12/17/2023,7/22/2025,119.21,Progressive,123456789
50,Ford,Bronco,9/13/2023,1/15/2025,446.7,Progressive,123456789
51,Saturn,VUE,3/26/2023,7/10/2025,573.3,State Farm,987654321
52,Chevrolet,2500,7/28/2023,2/23/2025,221.42,Progressive,987654321
53,Infiniti,J,7/7/2023,7/23/2025,125.15,Progressive,123456789
54,Buick,LeSabre,12/23/2023,5/24/2025,992.25,State Farm,555555555
55,Pontiac,6000,8/12/2023,10/15/2025,368.74,Geico,987654321
56,Subaru,Impreza,9/11/2023,12/13/2025,748.6,Geico,987654321
57,Volvo,V40,10/29/2023,12/8/2025,726.33,Geico,123456789
58,BMW,7 Series,2/6/2023,3/4/2025,388.63,Progressive,123456789
59,GMC,Yukon XL 1500,6/23/2023,12/9/2025,177.99,Geico,987654321
60,Dodge,Dynasty,3/16/2023,5/5/2025,526.63,Geico,555555555
61,Mitsubishi,Galant,4/27/2023,9/7/2025,199.06,State Farm,987654321
62,GMC,2500 Club Coupe,7/31/2023,10/23/2025,582.25,Geico,987654321
63,GMC,Yukon,12/8/2023,3/14/2025,574.57,Progressive,555555555
64,Mazda,MX-6,12/28/2023,9/16/2025,261.25,State Farm,123456789
65,Lincoln,Continental,12/1/2023,4/6/2025,860.31,State Farm,555555555
66,Mitsubishi,Montero,1/5/2023,4/15/2025,303.68,Geico,555555555
67,Buick,Terraza,6/28/2023,9/13/2025,521.05,State Farm,123456789
68,Pontiac,Firebird Trans Am,2/18/2023,5/10/2025,784.0,State Farm,123456789
69,Chevrolet,S10,7/19/2023,6/22/2025,670.14,Geico,555555555
70,Chevrolet,Corvette,1/3/2023,8/20/2025,195.37,Geico,987654321
71,Scion,xD,4/13/2023,11/20/2025,193.55,Geico,987654321
72,Ford,E-Series,12/23/2023,4/23/2025,448.81,State Farm,987654321
73,Nissan,Sentra,2/18/2023,4/24/2025,819.98,State Farm,555555555
74,Volvo,XC70,4/27/2023,11/21/2025,976.83,Geico,123456789
75,Jeep,Wrangler,3/20/2023,8/1/2025,227.4,State Farm,555555555
76,Ford,Expedition,2/6/2023,3/30/2025,693.12,State Farm,123456789
77,Mercedes-Benz,SL-Class,5/16/2023,7/28/2025,516.12,Geico,555555555
78,Volkswagen,Fox,11/8/2023,11/29/2025,514.8,State Farm,987654321
79,Chrysler,Crossfire,10/2/2023,6/2/2025,646.68,Progressive,555555555
80,GMC,3500 Club Coupe,7/19/2023,5/21/2025,671.18,State Farm,987654321
81,Scion,xB,5/15/2023,4/20/2025,895.75,State Farm,987654321
82,Dodge,Ram 1500,7/13/2023,11/8/2025,413.59,Progressive,123456789
83,Aston Martin,DB9,9/14/2023,1/13/2025,453.24,State Farm,987654321
84,Pontiac,Grand Prix,12/15/2023,6/30/2025,257.67,State Farm,123456789
85,Saab,9-5,12/2/2023,1/30/2025,632.84,State Farm,987654321
86,Mercury,Mariner,4/18/2023,6/30/2025,522.25,State Farm,555555555
87,Mercedes-Benz,W201,9/18/2023,11/14/2025,348.49,Geico,123456789
88,Pontiac,Grand Am,11/25/2023,10/17/2025,903.61,Geico,555555555
89,Isuzu,Axiom,12/25/2023,7/14/2025,338.48,Geico,987654321
