employee_id,full_name,job_title,department,hire_date,salary,manager_id,employment_status
1,Ky Roberti,Tax Accountant,Marketing,1/19/2024,74804.78,1,Resigned
2,Artus Belbin,Social Worker,Business Development,10/21/2023,141455.71,2,On Leave
3,Tarrah Putman,Financial Analyst,Marketing,11/25/2023,66387.34,3,Active
4,Alameda Gier,Legal Assistant,Support,1/30/2023,33178.23,4,On Leave
5,Cosme Shird,Web Developer I,Support,11/21/2023,113207.18,5,Resigned
6,Paola Deerr,Geologist III,Research and Development,3/4/2024,44811.4,6,Resigned
7,Bradley Flaonier,Marketing Manager,Support,10/20/2023,133533.76,7,On Leave
8,Ezekiel Kilcoyne,Budget/Accounting Analyst IV,Engineering,2/15/2024,31706.34,8,Resigned
9,Otha Germaine,Administrative Assistant III,Legal,2/14/2023,45983.44,9,Resigned
10,Verney Moff,Accounting Assistant II,Accounting,2/8/2023,117577.92,10,On Leave
11,Ginelle Rosedale,Legal Assistant,Marketing,12/17/2023,100047.68,11,Resigned
12,Bernardo Toone,Mechanical Systems Engineer,Support,8/14/2023,101312.71,12,Active
13,Ula McCrohon,Assistant Media Planner,Research and Development,2/18/2023,52769.03,13,On Leave
14,Bria Pereira,Software Consultant,Business Development,7/5/2023,60224.74,14,Terminated
15,Alika Aburrow,Chief Design Engineer,Legal,1/16/2024,51627.11,15,On Leave
16,Zollie Bratley,Assistant Manager,Engineering,2/23/2023,103140.1,16,Terminated
17,Jean Javes,Project Manager,Training,9/28/2023,145861.47,17,Resigned
18,Brittni Broy,Programmer III,Sales,2/13/2023,64137.69,18,Terminated
19,Carlotta Lafoy,Senior Financial Analyst,Support,4/21/2023,39950.31,19,Terminated
20,Alberik Durran,Professor,Support,1/28/2024,95183.84,20,Resigned
21,Leoine Crosswaite,Marketing Manager,Product Management,5/6/2023,146341.17,21,Active
22,Mariquilla Rigglesford,Programmer Analyst IV,Accounting,12/26/2023,80467.73,22,Active
23,Moria Sailes,Paralegal,Marketing,7/16/2023,83902.65,23,Active
24,Even Flewitt,Safety Technician I,Services,2/10/2024,86539.0,24,Active
25,Efrem Hearn,Recruiter,Marketing,7/14/2023,47317.64,25,On Leave
26,Katy Digwood,Recruiting Manager,Services,1/5/2024,101013.04,26,On Leave
27,Zita Wigfield,Recruiter,Human Resources,3/12/2023,122353.73,27,Terminated
28,Inge Perone,Marketing Manager,Research and Development,2/13/2023,96582.85,28,On Leave
29,Alejoa Rouke,Software Test Engineer IV,Training,10/29/2023,46832.91,29,On Leave
30,Lorette Searight,Database Administrator IV,Research and Development,2/19/2024,97342.84,30,Resigned
31,Milty Fallis,Senior Cost Accountant,Sales,3/8/2024,35054.05,31,Resigned
32,Guy Franzonetti,Human Resources Assistant II,Engineering,9/7/2023,45646.55,32,Terminated
33,Arvin Romeril,Assistant Media Planner,Human Resources,6/4/2023,149810.06,33,Resigned
34,Jarrett Chittey,Paralegal,Accounting,12/1/2023,71719.27,34,Active
35,Fredia Coulbeck,Community Outreach Specialist,Training,2/8/2023,133250.07,35,Resigned
36,Jasen Ingledew,VP Accounting,Business Development,12/9/2023,142366.11,36,Active
37,Druci Camillo,VP Product Management,Human Resources,3/21/2023,51485.32,37,On Leave
38,Junina Welton,Quality Engineer,Product Management,1/10/2023,149482.93,38,On Leave
39,Dolf Von Brook,Administrative Officer,Product Management,1/11/2024,35525.74,39,Resigned
40,Carlita Blundan,Help Desk Technician,Training,2/15/2024,57924.82,40,Active
41,Say McKune,Marketing Manager,Sales,8/1/2023,69358.08,41,Active
42,Andrea Chamberlaine,Help Desk Technician,Business Development,3/24/2023,93042.66,42,Terminated
