id,first_name,last_name,email,gender,creditcard_number,patient_id,patient_name,age,diagnosis_code,diagnosis_description,procedure_code,procedure_description,admission_date,discharge_date,total_cost
1,Quill,Martinie,qmartinie0@google.it,Male,67593342017816743,1,Quill Martinie,82,M07612,"Enteropathic arthropathies, left shoulder",0J9D30Z,"Drainage of Right Upper Arm Subcutaneous Tissue and Fascia with Drainage Device, Percutaneous Approach",10/31/2021,9/8/2021,Rupiah
2,Kristien,Mainds,kmainds1@blinklist.com,Female,3570629345515183,2,Kristien Mainds,11,M1917,"Post-traumatic osteoarthritis, ankle and foot",09NT3ZZ,"Release Left Frontal Sinus, Percutaneous Approach",2/6/2022,5/21/2022,Euro
3,Pollyanna,Wardingly,pwardingly2@feedburner.com,Female,5178970409869954,3,Pollyanna Wardingly,90,T44905S,"Adverse effect of unspecified drugs primarily affecting the autonomic nervous system, sequela",0D588ZZ,"Destruction of Small Intestine, Via Natural or Artificial Opening Endoscopic",10/17/2020,1/9/2021,Peso
4,Shandie,Pretswell,spretswell3@meetup.com,Female,5108755387174047,4,Shandie Pretswell,79,T4796XA,"Underdosing of unspecified agents primarily affecting the gastrointestinal system, initial encounter",05VR4ZZ,"Restriction of Right Vertebral Vein, Percutaneous Endoscopic Approach",10/19/2020,8/22/2022,Zloty
5,Tybi,Benoy,tbenoy4@spotify.com,Female,5602258135621048,5,Tybi Benoy,108,S92121P,"Displaced fracture of body of right talus, subsequent encounter for fracture with malunion",DM109BZ,High Dose Rate (HDR) Brachytherapy of Left Breast using Palladium 103 (Pd-103),8/14/2020,2/3/2020,Zloty
6,William,Greenlees,wgreenlees5@earthlink.net,Male,3548505141877234,6,William Greenlees,30,S83133S,"Medial subluxation of proximal end of tibia, unspecified knee, sequela",0XH801Z,"Insertion of Radioactive Element into Right Upper Arm, Open Approach",4/26/2022,12/28/2020,Franc
7,Norman,Tevelov,ntevelov6@ft.com,Male,5282529718326149,7,Norman Tevelov,92,M08232,"Juvenile rheumatoid arthritis with systemic onset, left wrist",0XJB3ZZ,"Inspection of Right Elbow Region, Percutaneous Approach",4/25/2022,8/5/2022,Zloty
8,Nikaniki,McGilleghole,nmcgilleghole7@over-blog.com,Bigender,344454541637603,8,Nikaniki McGilleghole,25,W38,Explosion and rupture of other specified pressurized devices,04C40Z6,"Extirpation of Matter from Splenic Artery, Bifurcation, Open Approach",2/24/2020,5/29/2020,Yuan Renminbi
9,Larine,Westmacott,lwestmacott8@imgur.com,Agender,5253524422771339,9,Larine Westmacott,118,B458,Other forms of cryptococcosis,30230AZ,"Transfusion of Embryonic Stem Cells into Peripheral Vein, Open Approach",2/13/2021,12/28/2021,Euro
10,Alick,Everly,aeverly9@blinklist.com,Male,3553448195446014,10,Alick Everly,88,Y92154,Driveway of reform school as the place of occurrence of the external cause,0BQN3ZZ,"Repair Right Pleura, Percutaneous Approach",6/3/2021,10/27/2021,Dollar
