employee_id,employee_name,salary,position,department,hire_date,bonus,overtime_hours,tax_rate,net_pay
1,Evelyn Bantham,94938.08,Environmental Tech,Sales,6/23/2002,1667.17,9.8,0.0194,15283.96
2,Jack Quilty,112054.25,Mechanical Systems Engineer,Human Resources,3/9/2005,3437.97,4.42,0.1871,76076.53
3,Jenn Oldrey,93118.6,Marketing Manager,Business Development,7/3/2000,3899.19,18.8,0.2281,107526.63
4,Terrijo Tunnick,49231.64,Programmer Analyst IV,Research and Development,7/2/2017,3308.79,14.88,0.0256,137900.13
5,Jacquenetta McGivena,57047.42,Engineer IV,Research and Development,12/15/2014,1068.24,13.41,0.444,107310.5
6,Silvain Morgans,43923.93,Web Developer II,Support,3/25/2011,2520.11,5.0,0.334,88024.1
7,Jill Timmermann,125994.0,Nurse,Support,12/5/2022,2681.21,15.78,0.063,18881.14
8,Archaimbaud Duell,112549.37,Accounting Assistant I,Sales,10/5/2019,656.34,19.5,0.4131,58765.62
9,Giorgi Trevarthen,24362.46,Safety Technician III,Marketing,6/30/2020,1792.2,14.09,0.4148,112050.9
10,Judas Hallybone,113725.47,Quality Control Specialist,Legal,3/6/2006,4498.97,5.92,0.4918,64958.15
11,Eada Fenkel,109332.32,GIS Technical Architect,Accounting,12/1/2014,3546.71,19.5,0.3346,135323.99
12,Lorin Gookes,112631.61,Food Chemist,Support,6/15/2016,953.36,5.83,0.3847,29668.97
13,Tani Schoenfisch,35471.8,Operator,Sales,4/11/2012,3160.52,19.19,0.1821,75521.89
14,Erminie Golborne,135322.39,Research Assistant III,Research and Development,9/9/2003,1239.71,13.68,0.4776,106935.87
15,Arlee Echlin,103101.06,VP Sales,Engineering,4/5/2014,2023.39,2.79,0.4576,71780.6
16,Arty St Ange,90118.81,Quality Control Specialist,Engineering,7/12/2021,1718.42,12.88,0.3941,69761.01
17,Kalli Friday,143347.92,Assistant Manager,Product Management,4/9/2017,4029.76,12.14,0.1985,82050.23
18,Myrtia Lazarus,148118.36,Professor,Accounting,2/19/2019,3584.28,7.68,0.0543,30481.12
19,Brook Boas,113745.12,Desktop Support Technician,Product Management,5/9/2009,3625.38,9.46,0.2098,31286.27
20,Weider Dod,88582.29,Information Systems Manager,Business Development,3/22/2003,4593.22,18.1,0.4127,115892.46
21,Vlad Limbourne,125842.85,Civil Engineer,Marketing,8/1/2001,354.49,15.84,0.213,36025.42
22,Bernadina Melling,53857.08,Environmental Tech,Accounting,1/10/2019,3676.26,18.24,0.2045,115539.93
23,Inga Firidolfi,84235.7,Compensation Analyst,Product Management,12/22/2020,3645.11,7.33,0.1909,103056.18
24,Shane Gregan,60689.24,Senior Developer,Business Development,12/4/2014,3769.86,17.51,0.0939,66644.13
25,Welsh Rainton,71941.16,Project Manager,Legal,8/19/2019,932.45,16.21,0.1985,114578.75
26,Lurline Korfmann,26083.58,Senior Quality Engineer,Legal,5/1/2002,1553.37,3.36,0.4291,49077.12
27,Marta Tadman,28635.17,Web Designer IV,Engineering,5/3/2002,55.74,7.24,0.3617,46838.83
28,Abigail Bartomeu,69441.13,Programmer Analyst IV,Marketing,8/2/2007,386.04,15.23,0.2441,82869.97
29,Lawrence Ellams,52946.39,Account Representative IV,Product Management,3/16/2010,1556.07,14.74,0.3307,93013.7
30,Lynsey Lowne,96487.21,Computer Systems Analyst IV,Human Resources,8/7/2016,3052.96,2.88,0.1329,83315.25
31,Nanice Lorimer,110897.36,Systems Administrator III,Legal,11/28/2018,825.94,7.83,0.1557,47833.43
32,Jacquelyn Romero,54776.77,Project Manager,Legal,11/9/2022,3014.96,19.17,0.1024,61728.36
33,Rheba Snoxall,61287.97,Associate Professor,Research and Development,11/20/2017,2757.31,17.66,0.3562,18426.38
34,Mella Dighton,63986.82,Staff Scientist,Business Development,8/10/2003,1749.73,8.99,0.1252,97819.73
35,Wesley Wilkowski,62156.31,Desktop Support Technician,Engineering,3/2/2004,1110.89,10.19,0.1574,127507.57
36,Alvira Holgan,95900.91,Staff Scientist,Product Management,7/26/2009,1510.92,14.15,0.0911,88687.62
37,Haley Bossel,75103.97,Executive Secretary,Marketing,12/31/2020,3824.15,5.96,0.0105,19020.57
38,Tristan Shearn,135152.79,Chief Design Engineer,Sales,5/17/2011,2742.16,10.09,0.2419,22120.23
39,Ebeneser Rosier,65200.34,Research Nurse,Research and Development,8/26/2005,2165.97,17.52,0.0721,28258.18
40,Tara Golda,140492.99,Financial Advisor,Services,10/23/2001,294.23,8.12,0.2224,46372.66
41,Idalina Bradane,65194.68,Software Consultant,Legal,8/27/2011,3566.22,10.14,0.3158,38053.07
42,Ophelie Cheavin,103415.45,Human Resources Manager,Training,10/15/2004,3515.94,1.37,0.0976,122726.59
43,Wilmette Wyke,75328.87,Junior Executive,Legal,9/5/2013,1450.31,8.77,0.3397,67888.26
44,Leo Foxworthy,105765.83,Staff Accountant II,Sales,9/25/2014,2692.11,6.0,0.3882,22690.7
45,Monica Filgate,41037.85,Sales Associate,Sales,7/6/2005,3761.61,2.41,0.4251,41848.83
46,Arline Rockell,135458.38,Analyst Programmer,Research and Development,4/13/2018,4096.98,15.23,0.0783,61182.58
47,Abran Stelljes,112990.88,Senior Editor,Services,10/21/2012,36.41,13.9,0.1966,89920.94
48,Terrijo Reckhouse,63703.34,Software Test Engineer II,Human Resources,6/25/2013,2822.28,11.18,0.0172,73783.48
49,Elizabet todor,20911.51,Data Coordinator,Support,5/16/2002,3191.74,10.78,0.1482,126405.13
50,Elset Belcher,86199.77,Statistician II,Human Resources,11/15/2009,2095.5,2.89,0.2916,41636.7
51,Davina Metzel,104853.17,Software Test Engineer III,Support,4/8/2011,3537.16,12.79,0.1205,73811.33
52,Oralie Risom,95643.23,Associate Professor,Business Development,4/18/2015,1297.61,11.36,0.013,120001.21
53,Pippo Josefson,44183.2,Statistician IV,Research and Development,3/9/2007,154.2,5.53,0.4936,118333.33
54,Corey Hubbold,124221.65,Recruiting Manager,Accounting,2/22/2022,3314.08,8.78,0.4378,124852.32
55,Kiley Boriston,59498.63,Financial Analyst,Product Management,5/20/2013,254.26,3.45,0.3645,115442.3
56,Sidoney Cornick,132075.45,Help Desk Operator,Support,5/10/2009,3997.65,4.31,0.1665,23223.73
57,Isidora Prettyjohns,84816.78,VP Marketing,Services,9/15/2014,1878.45,0.5,0.2536,28523.35
58,Roldan Shearsby,89276.22,Senior Developer,Sales,7/18/2019,4755.81,4.89,0.2157,120682.62
59,Violetta Eden,94006.14,Dental Hygienist,Services,1/9/2022,3055.92,5.91,0.3918,112521.16
60,Ely Widmore,58672.48,Accountant III,Engineering,9/2/2021,294.44,17.24,0.0999,20691.7
61,Brant Hayers,91014.72,General Manager,Support,12/22/2022,736.97,15.14,0.3312,92747.58
62,Cele Cerie,108715.49,Human Resources Manager,Legal,12/22/2013,1297.05,8.57,0.0641,61747.4
63,Rob Cromett,56874.31,Director of Sales,Engineering,8/2/2014,198.3,6.12,0.4958,130330.44
64,Corey MacIntyre,107361.79,Geological Engineer,Business Development,10/27/2013,2321.29,16.02,0.0161,106606.56
65,Kurt Librey,41027.09,Assistant Professor,Accounting,7/17/2013,644.68,4.38,0.2797,86302.3
66,Rockie Klehyn,35345.4,Marketing Manager,Support,5/26/2017,1429.56,15.04,0.2233,79857.1
67,Levon Russ,140969.39,Speech Pathologist,Business Development,3/27/2017,972.11,7.31,0.0289,108070.79
68,Tobin Sommerlin,123162.97,Research Nurse,Training,2/15/2013,654.3,12.33,0.1541,67128.61
69,Sallyanne Harp,124117.56,Analog Circuit Design manager,Training,7/2/2017,3359.35,4.14,0.4278,101179.33
70,Rena Jostan,105276.15,Graphic Designer,Training,6/13/2016,4651.79,11.9,0.3994,109911.18
71,Clary Wike,93448.49,Nuclear Power Engineer,Training,12/7/2021,423.82,10.66,0.0446,132863.52
72,Verine Hosten,23690.05,Sales Representative,Support,11/1/2007,4368.72,15.54,0.1939,63592.55
73,Ruperta Spencock,145893.2,Senior Quality Engineer,Sales,6/23/2019,1698.32,2.72,0.4989,55876.9
74,Laverna Monget,122444.04,Help Desk Technician,Research and Development,1/27/2020,4452.76,5.8,0.4113,87524.15
75,Eden Pierro,88162.65,Sales Associate,Engineering,3/26/2003,4358.07,9.17,0.3961,74261.64
76,Ella McKune,22005.45,Assistant Media Planner,Business Development,8/3/2022,4320.31,11.89,0.2374,93589.8
77,Baxy Bussen,146714.74,Analyst Programmer,Support,2/9/2017,3602.55,19.87,0.0588,128261.95
78,Orin Coule,87906.72,Accounting Assistant III,Support,10/28/2018,3468.45,0.97,0.4985,74636.92
